Vagococcus_lutrae	V. lutrae
Streptococcus_salivarius_CAG_79	S. salivarius CAG-79
Klebsiella_quasipneumoniae	K. quasipneumoniae
Prevotella_disiens	P. disiens
Prevotella_sp_CAG_485	Pre. sp. CAG-485
Paenibacillus_pasadenensis	P. pasadenensis
Kluyvera_cryocrescens	K. cryocrescens
Treponema_denticola	T. denticola
Eisenbergiella_massiliensis	E. massiliensis
Anaeromassilibacillus_sp_An250	Ana. sp. An250
Pseudomonas_seleniipraecipitans	P. seleniipraecipitans
Erwinia_billingiae	E. billingiae
Janibacter_melonis	J. melonis
Prevotella_salivae	P. salivae
Dialister_sp_CAG_357	Dia. sp. CAG-357
Prevotella_timonensis	P. timonensis
Prevotella_sp_MGM2	Pre. sp. MGM2
Brevibacillus_brevis	B. brevis
Pseudomonas_rhizosphaerae	P. rhizosphaerae
Firmicutes_bacterium_CAG_791	Fir. bacterium CAG-791
Pseudomonas_weihenstephanensis	P. weihenstephanensis
Dermabacter_vaginalis	D. vaginalis
Bacteroides_sp_CAG_927	Bac. sp. CAG-927
Antricoccus_suffuscus	A. suffuscus
Bradyrhizobium_sp_STM_3809	Bra. sp. STM-3809
Staphylococcus_equorum	S. equorum
Chryseobacterium_hominis	Chr. hominis
Prolinoborus_fasciculus	P. fasciculus
Staphylococcus_saprophyticus	S. saprophyticus
Eubacterium_infirmum	Eub. infirmum
Moraxella_lincolnii	M. lincolnii
Neisseria_sp_HMSC064E01	Nei. sp. HMSC064E01
Mycobacterium_tuberculosis	Myc. tuberculosis
Bifidobacterium_animalis	Bif. animalis
Capnocytophaga_sp_oral_taxon_863	Cap. sp. oral-taxon-863
Prevotella_nigrescens	P. nigrescens
Bacteroides_salanitronis	B. salanitronis
Streptococcus_equinus	S. equinus
Pseudoxanthomonas_sp_CF385	Pse. sp. CF385
Dietzia_psychralcaliphila	D. psychralcaliphila
Barnesiella_intestinihominis	B. intestinihominis
Mixta_calida	M. calida
Corynebacterium_casei	Cor. casei
Plantibacter_flavus	P. flavus
Blautia_sp_An249	Bla. sp. An249
Denitrobacterium_detoxificans	Den. detoxificans
Clostridium_perfringens	C. perfringens
Eikenella_sp_NML02_A_017	Eik. sp. NML02-A-017
Acidovorax_sp_GW101_3H11	Aci. sp. GW101-3H11
Corynebacterium_simulans	Cor. simulans
Pseudomonas_lactis	P. lactis
Prevotella_sp_CAG_1031	Pre. sp. CAG-1031
Roseomonas_rosea	R. rosea
Chryseobacterium_chaponense	Chr. chaponense
Neisseria_lactamica	N. lactamica
Elusimicrobium_sp_An273	Elu. sp. An273
Porphyromonadaceae_bacterium_COT_184_OH4590	Por. bacterium COT-184-OH4590
Methanosphaera_sp_rholeuAM74	Met. sp. rholeuAM74
Sphingomonas_aurantiaca	S. aurantiaca
Tsukamurella_tyrosinosolvens	T. tyrosinosolvens
Veillonella_seminalis	V. seminalis
Streptococcus_lutetiensis	S. lutetiensis
Actinomyces_naeslundii	A. naeslundii
Streptomyces_purpurogeneiscleroticus	S. purpurogeneiscleroticus
Lactobacillus_senmaizukei	L. senmaizukei
Delftia_tsuruhatensis	D. tsuruhatensis
Methanobrevibacter_thaueri	M. thaueri
Shewanella_morhuae	S. morhuae
Capnocytophaga_leadbetteri	C. leadbetteri
Streptococcus_parasanguinis	S. parasanguinis
Cutibacterium_avidum	Cut. avidum
Brevibacillus_reuszeri	B. reuszeri
Staphylococcus_capitis	S. capitis
Streptococcus_pseudopneumoniae	S. pseudopneumoniae
Desulfovibrio_fairfieldensis	D. fairfieldensis
Turicibacter_sanguinis	T. sanguinis
Streptococcus_mitis	S. mitis
Corynebacterium_matruchotii	Cor. matruchotii
Candidatus_Gastranaerophilales_bacterium	Can. Gastranaerophilales bacterium
Bifidobacterium_psychraerophilum	Bif. psychraerophilum
Megasphaera_sp_BV3C16_1	Meg. sp. BV3C16-1
Oscillibacter_sp_CAG_241	Osc. sp. CAG-241
Acinetobacter_radioresistens	A. radioresistens
Leptotrichia_hofstadii	L. hofstadii
Veillonella_sp_T11011_6	Vei. sp. T11011-6
Leuconostoc_mesenteroides	L. mesenteroides
Campylobacter_hominis	C. hominis
Bifidobacterium_scardovii	Bif. scardovii
Ruminococcaceae_bacterium_D16	Rum. bacterium D16
Morganella_morganii	M. morganii
Serratia_sp_M24T3	Ser. sp. M24T3
Melissococcus_sp_OM08_11BH	Mel. sp. OM08-11BH
Allisonella_histaminiformans	A. histaminiformans
Xanthomonas_alfalfae	X. alfalfae
Pseudomonas_taetrolens	P. taetrolens
Streptococcus_sp_oral_taxon_056	Str. sp. oral-taxon-056
Mobiluncus_curtisii	M. curtisii
Lactobacillus_diolivorans	L. diolivorans
Lactobacillus_antri	L. antri
Pseudomonas_psychrophila	P. psychrophila
Bacteroides_nordii	B. nordii
Prevotella_denticola	P. denticola
Psychrobacter_sp_JB385	Psy. sp. JB385
Pluralibacter_gergoviae	P. gergoviae
Mitsuokella_multacida	M. multacida
Peptoniphilus_asaccharolyticus	P. asaccharolyticus
Roseomonas_cervicalis	R. cervicalis
Belnapia_rosea	B. rosea
Candidatus_Methanomassiliicoccus_intestinalis	C. Methanomassiliicoccus intestinalis
Bacillus_megaterium	B. megaterium
Staphylococcus_simulans	S. simulans
Enterobacter_soli	E. soli
Lactobacillus_rogosae	L. rogosae
Lachnoclostridium_sp_An298	Lac. sp. An298
Brachybacterium_sp_UMB0905	Bra. sp. UMB0905
Chroococcidiopsis_thermalis	C. thermalis
Anoxybacillus_pushchinoensis	A. pushchinoensis
Nesterenkonia_sandarakina	N. sandarakina
Streptomyces_griseorubiginosus	S. griseorubiginosus
Blautia_sp_N6H1_15	Bla. sp. N6H1-15
Phascolarctobacterium_succinatutens	Pha. succinatutens
Pseudonocardia_autotrophica	P. autotrophica
Haemophilus_parainfluenzae	H. parainfluenzae
Stenotrophomonas_ginsengisoli	S. ginsengisoli
Ruminococcus_bicirculans	R. bicirculans
Rhodococcus_hoagii	R. hoagii
Acinetobacter_idrijaensis	A. idrijaensis
Proteobacteria_bacterium_SG_bin4	Pro. bacterium SG-bin4
Harryflintia_acetispora	H. acetispora
Vibrio_furnissii	V. furnissii
Klebsiella_variicola_CAG_634	K. variicola CAG-634
Bacillus_safensis	B. safensis
Lactobacillus_kefiri	L. kefiri
Aeromonas_media	A. media
Crinalium_epipsammum	C. epipsammum
Actinomyces_hordeovulneris	A. hordeovulneris
Neisseria_dumasiana	N. dumasiana
Pseudoflavonifractor_capillosus	P. capillosus
Prevotella_saccharolytica	P. saccharolytica
Ruminococcus_torques	R. torques
Vogesella_sp_EB	Vog. sp. EB
Lactobacillus_sunkii	L. sunkii
Marmoricola_scoriae	M. scoriae
Intestinimonas_butyriciproducens	I. butyriciproducens
Amycolatopsis_niigatensis	A. niigatensis
Clostridium_bolteae	C. bolteae
Glutamicibacter_sp	G. sp
Scardovia_inopinata	S. inopinata
Agitococcus_lubricus	A. lubricus
Corynebacterium_ammoniagenes	Cor. ammoniagenes
Corynebacterium_kefirresidentii	Cor. kefirresidentii
Lactobacillus_mucosae	L. mucosae
Methylobacterium_radiotolerans	Met. radiotolerans
Staphylococcus_nepalensis	S. nepalensis
Shuttleworthia_satelles	S. satelles
Thermoleophilum_album	T. album
Alkalibacterium_olivapovliticus	Alk. olivapovliticus
Gemmata_obscuriglobus	G. obscuriglobus
Lactobacillus_acidophilus	L. acidophilus
Clostridium_sp_CAG_964	Clo. sp. CAG-964
Clostridium_botulinum	C. botulinum
Lachnoanaerobaculum_saburreum	L. saburreum
Mycolicibacterium_fortuitum	Myc. fortuitum
Mycolicibacterium_chubuense	Myc. chubuense
Serratia_fonticola	S. fonticola
Jeotgalicoccus_halophilus	J. halophilus
Pseudoglutamicibacter_albus	P. albus
Bacteroides_caccae	B. caccae
Prevotella_sp_oral_taxon_306	Pre. sp. oral-taxon-306
Lactobacillus_saerimneri	L. saerimneri
Lactobacillus_gigeriorum	L. gigeriorum
Pyrococcus_yayanosii	P. yayanosii
Chryseobacterium_hispanicum	Chr. hispanicum
Knoellia_aerolata	K. aerolata
Lactobacillus_manihotivorans	L. manihotivorans
Streptococcus_oralis	S. oralis
Lysinibacillus_sphaericus	L. sphaericus
Bacteroides_coagulans	B. coagulans
Tepidimonas_fonticaldi	T. fonticaldi
Brevibacterium_luteolum	Bre. luteolum
Pseudomonas_guguanensis	P. guguanensis
Clostridium_sp_CAG_411	Clo. sp. CAG-411
Actinomyces_oris	A. oris
Chryseobacterium_sp_AG844	Chr. sp. AG844
Empedobacter_falsenii	E. falsenii
Enterococcus_raffinosus	E. raffinosus
Streptococcus_sp_SK643	Str. sp. SK643
Anaerococcus_tetradius	A. tetradius
Nocardioides_lianchengensis	N. lianchengensis
Propionibacterium_namnetense	Pro. namnetense
Gordonia_polyisoprenivorans	G. polyisoprenivorans
Hafnia_alvei	H. alvei
Lactobacillus_sakei	L. sakei
Paraclostridium_bifermentans	P. bifermentans
Acidaminococcus_fermentans	A. fermentans
Roseburia_sp_CAG_471	Ros. sp. CAG-471
Dietzia_alimentaria	D. alimentaria
Leucobacter_komagatae	L. komagatae
Gordonia_sputi	G. sputi
Sodalis_praecaptivus	S. praecaptivus
Atopobium_parvulum	A. parvulum
Leptotrichia_goodfellowii	L. goodfellowii
Weissella_cibaria	W. cibaria
Actinomyces_sp_HMSC035G02	Act. sp. HMSC035G02
Clostridium_celatum	C. celatum
Acetivibrio_ethanolgignens	A. ethanolgignens
Kosakonia_radicincitans	K. radicincitans
Elizabethkingia_miricola	E. miricola
Prevotella_histicola	P. histicola
Massiliomicrobiota_timonensis	M. timonensis
Actinomycetospora_cinnamomea	A. cinnamomea
Blautia_hansenii	B. hansenii
Eubacterium_hallii	Eub. hallii
Streptococcus_suis	S. suis
Acidovorax_sp_HMWF029	Aci. sp. HMWF029
Anaerocolumna_aminovalerica	A. aminovalerica
Parvimonas_sp_KA00067	Par. sp. KA00067
Prevotella_bivia	P. bivia
Streptococcus_cristatus	S. cristatus
Streptococcus_sp_A12	Str. sp. A12
Bifidobacterium_longum	Bif. longum
Oligella_ureolytica	O. ureolytica
Cellulosilyticum_lentocellum	C. lentocellum
Treponema_saccharophilum	T. saccharophilum
Prevotella_marshii	P. marshii
Fimbriiglobus_ruber	F. ruber
Streptococcus_gallolyticus	S. gallolyticus
Dorea_longicatena	D. longicatena
Pasteurella_dagmatis	P. dagmatis
Roseburia_sp_CAG_303	Ros. sp. CAG-303
Massilia_timonae	M. timonae
Eubacterium_limosum	Eub. limosum
Pseudomonas_deceptionensis	P. deceptionensis
Lactobacillus_algidus	L. algidus
Mycolicibacterium_gilvum	Myc. gilvum
Clostridium_beijerinckii	C. beijerinckii
Rubrobacter_radiotolerans	R. radiotolerans
Enterobacter_mori	E. mori
Pseudoramibacter_alactolyticus	P. alactolyticus
Methyloceanibacter_superfactus	M. superfactus
Prevotella_sp_CAG_891	Pre. sp. CAG-891
Alistipes_putredinis	A. putredinis
Xanthomonas_phaseoli	X. phaseoli
Enterococcus_casseliflavus	E. casseliflavus
Prevotella_colorans	P. colorans
Streptococcus_parauberis	S. parauberis
Gluconobacter_cerinus	G. cerinus
Dietzia_sp_JS16_p6b	Die. sp. JS16-p6b
Lactobacillus_farraginis	L. farraginis
Arthrobacter_pityocampae	A. pityocampae
Moraxella_atlantae	M. atlantae
Paeniclostridium_sordellii	P. sordellii
Ruthenibacterium_lactatiformans	Rut. lactatiformans
Actinomyces_sp_oral_taxon_897	Act. sp. oral-taxon-897
Streptococcus_sp_NLAE_zl_C503	Str. sp. NLAE-zl-C503
Clostridium_symbiosum	C. symbiosum
Pseudocitrobacter_faecalis	P. faecalis
Citrobacter_youngae	C. youngae
Staphylococcus_pasteuri	S. pasteuri
Staphylococcus_condimenti	S. condimenti
Blastomonas_sp	B. sp
Gordonia_jacobaea	G. jacobaea
Providencia_rettgeri	P. rettgeri
Neisseria_polysaccharea	N. polysaccharea
Paenibacillus_solani	P. solani
Staphylococcus_sciuri	S. sciuri
Dermacoccus_nishinomiyaensis	D. nishinomiyaensis
Kluyvera_intermedia	K. intermedia
Lactobacillus_fuchuensis	L. fuchuensis
Paenibacillus_sp_7884_2	Pae. sp. 7884-2
Ochrobactrum_lupini	O. lupini
Clostridium_sp_MSTE9	Clo. sp. MSTE9
Roseburia_faecis	R. faecis
Corynebacterium_tuscaniense	Cor. tuscaniense
Eremococcus_coleocola	E. coleocola
Butyrivibrio_crossotus	B. crossotus
Candidatus_Nitrosocosmicus_oleophilus	C. Nitrosocosmicus oleophilus
Curtobacterium_sp_MCLR17_032	Cur. sp. MCLR17-032
Fusobacterium_ulcerans	Fus. ulcerans
Brachyspira_sp_CAG_700	Bra. sp. CAG-700
Gilliamella_apicola	G. apicola
Paracoccus_solventivorans	P. solventivorans
Enterococcus_avium	E. avium
Paenibacillus_odorifer	P. odorifer
Mycobacterium_avium	Myc. avium
Firmicutes_bacterium_CAG_94	Fir. bacterium CAG-94
Bifidobacterium_merycicum	Bif. merycicum
Acinetobacter_pittii	A. pittii
Thiohalorhabdus_denitrificans	T. denitrificans
Ureaplasma_parvum	U. parvum
Prevotella_bergensis	P. bergensis
Lactobacillus_vaginalis	L. vaginalis
Haematobacter_genomosp_1	H. genomosp 1
Actinomyces_johnsonii	Actinomyces_johnsonii
Bordetella_pertussis	B. pertussis
Mobiluncus_mulieris	M. mulieris
Ruminococcus_sp_CAG_579	Rum. sp. CAG-579
Treponema_vincentii	T. vincentii
Bacillus_hisashii	B. hisashii
Methanobrevibacter_ruminantium	M. ruminantium
Tissierellia_bacterium_KA00581	Tis. bacterium KA00581
Geodermatophilus_sp_DSM_45219	Geo. sp. DSM-45219
Micrococcus_aloeverae	M. aloeverae
Methylorubrum_extorquens	M. extorquens
Acinetobacter_brisouii	A. brisouii
Slackia_isoflavoniconvertens	S. isoflavoniconvertens
Corynebacterium_lipophiloflavum	Cor. lipophiloflavum
Dickeya_chrysanthemi	D. chrysanthemi
Thermomonas_hydrothermalis	T. hydrothermalis
Nocardioides_alpinus	N. alpinus
Gordonia_alkanivorans	G. alkanivorans
Cellulosimicrobium_aquatile	C. aquatile
Aquamicrobium_defluvii	A. defluvii
Streptococcus_gordonii	S. gordonii
Enterococcus_dispar	E. dispar
Staphylococcus_hominis	S. hominis
Actinomyces_graevenitzii	A. graevenitzii
Tyzzerella_sp_An114	Tyz. sp. An114
Prevotella_sp_CAG_520	Pre. sp. CAG-520
Actinomyces_massiliensis	A. massiliensis
Mycobacterium_sp_IS_1590	Myc. sp. IS-1590
Serratia_marcescens	S. marcescens
Alistipes_timonensis	A. timonensis
Anaeromassilibacillus_sp_An200	Ana. sp. An200
Mycolicibacterium_iranicum	Myc. iranicum
Pseudomonas_sp_OV467	Pse. sp. OV467
Lactococcus_raffinolactis	L. raffinolactis
Serinicoccus_sp_JLT9	Ser. sp. JLT9
Bacillus_shackletonii	B. shackletonii
Enterobacter_sp_638	Ent. sp. 638
Vagococcus_teuberi	V. teuberi
Bifidobacterium_angulatum	Bif. angulatum
Neisseria_subflava	N. subflava
Selenomonas_infelix	S. infelix
Kytococcus_schroeteri	K. schroeteri
Bacteroides_coprophilus	B. coprophilus
Firmicutes_bacterium_CAG_110	Fir. bacterium CAG-110
Coprobacillus_cateniformis	C. cateniformis
Curtobacterium_flaccumfaciens	Cur. flaccumfaciens
Bacteroides_stercorirosoris	B. stercorirosoris
Peptostreptococcus_sp_MV1	Pep. sp. MV1
Kosakonia_oryzendophytica	K. oryzendophytica
Blautia_coccoides	B. coccoides
Clostridium_hiranonis	C. hiranonis
Negativicoccus_succinicivorans	N. succinicivorans
Prevotella_shahii	P. shahii
Clostridium_sp_C105KSO13	Clo. sp. C105KSO13
Prevotella_sp_S7_1_8	Pre. sp. S7-1-8
Enhydrobacter_aerosaccus	E. aerosaccus
Moraxella_catarrhalis	M. catarrhalis
Microbacterium_paraoxydans	Mic. paraoxydans
Actinomyces_sp_ICM47	Act. sp. ICM47
Lactobacillus_vaccinostercus	L. vaccinostercus
Leuconostoc_garlicum	L. garlicum
Helicobacter_cinaedi	H. cinaedi
Sharpea_azabuensis	S. azabuensis
Bosea_sp_Leaf344	Bos. sp. Leaf344
Enterococcus_canintestini	E. canintestini
Alistipes_shahii	A. shahii
Frigoribacterium_sp_Leaf8	Fri. sp. Leaf8
Erwinia_persicina	E. persicina
Staphylococcus_caprae	S. caprae
Cupriavidus_metallidurans	C. metallidurans
Gordonia_amicalis	G. amicalis
Corynebacterium_pseudogenitalium	Cor. pseudogenitalium
Pseudomonas_sp_OV508	Pse. sp. OV508
Weissella_thailandensis	W. thailandensis
Eubacterium_nodatum	Eub. nodatum
Peptoniphilus_grossensis	P. grossensis
Aeromonas_rivipollensis	A. rivipollensis
Clostridium_asparagiforme	C. asparagiforme
Ochrobactrum_thiophenivorans	O. thiophenivorans
Faecalicatena_contorta	F. contorta
Lactobacillus_gastricus	L. gastricus
Parabacteroides_chartae	P. chartae
Lactococcus_lactis	L. lactis
Corynebacterium_sp_HMSC058E07	Cor. sp. HMSC058E07
Aerococcus_christensenii	A. christensenii
Salinicoccus_roseus	S. roseus
Vibrio_fluvialis	V. fluvialis
Stenotrophomonas_rhizophila	S. rhizophila
Helicobacter_trogontum	H. trogontum
Gordonia_iterans	G. iterans
Thermus_parvatiensis	T. parvatiensis
Macrococcus_caseolyticus	M. caseolyticus
Prevotella_sp_CAG_1185	Pre. sp. CAG-1185
Weissella_confusa	W. confusa
Pantoea_eucrina	P. eucrina
Campylobacter_upsaliensis	C. upsaliensis
Enterococcus_faecalis	E. faecalis
Aeromonas_allosaccharophila	A. allosaccharophila
Bifidobacterium_magnum	Bif. magnum
Dichotomicrobium_thermohalophilum	D. thermohalophilum
Lactobacillus_mindensis	L. mindensis
Faecalibacterium_prausnitzii	Fae. prausnitzii
Fusobacterium_sp_oral_taxon_370	Fus. sp. oral-taxon-370
Corynebacterium_amycolatum	Cor. amycolatum
Alistipes_sp_An66	Ali. sp. An66
Lactobacillus_gallinarum	L. gallinarum
Clostridium_argentinense	C. argentinense
Enterobacter_lignolyticus	E. lignolyticus
Bifidobacterium_tsurumiense	Bif. tsurumiense
Corynebacterium_sp_NML130628	Cor. sp. NML130628
Lactobacillus_iners	L. iners
Alcaligenes_faecalis	A. faecalis
Oligella_urethralis	O. urethralis
Bacteroides_fragilis	B. fragilis
Acinetobacter_tandoii	A. tandoii
Ornithinimicrobium_sp_AMA3305	Orn. sp. AMA3305
Prevotella_sp_CAG_617	Pre. sp. CAG-617
Barnesiella_sp_An55	Bar. sp. An55
Sphingomonas_indica	S. indica
Streptococcus_sp_oral_taxon_058	Str. sp. oral-taxon-058
Firmicutes_bacterium_CAG_555	Fir. bacterium CAG-555
Anaerotignum_lactatifermentans	A. lactatifermentans
Streptococcus_urinalis	S. urinalis
Murimonas_intestini	M. intestini
Paracoccus_contaminans	P. contaminans
Streptococcus_pneumoniae	S. pneumoniae
Lactobacillus_farciminis	L. farciminis
Paracoccus_sphaerophysae	P. sphaerophysae
Helicobacter_pullorum	H. pullorum
Knoellia_flava	K. flava
Mitsuokella_sp_oral_taxon_131	Mit. sp. oral-taxon-131
Enterococcus_faecium	E. faecium
Paracoccus_mutanolyticus	P. mutanolyticus
Lactobacillus_harbinensis	L. harbinensis
Klebsiella_pneumoniae	K. pneumoniae
Lactobacillus_reuteri	L. reuteri
Corynebacterium_freneyi	Cor. freneyi
Enterococcus_pseudoavium	E. pseudoavium
Porphyromonas_asaccharolytica	P. asaccharolytica
Lactobacillus_kitasatonis	L. kitasatonis
Lawsonia_intracellularis	L. intracellularis
Butyricimonas_synergistica	B. synergistica
Lachnoclostridium_sp_An76	Lac. sp. An76
Solimonas_fluminis	S. fluminis
Capnocytophaga_sp_oral_taxon_338	Cap. sp. oral-taxon-338
Kingella_oralis	K. oralis
Mucispirillum_schaedleri	M. schaedleri
Weissella_halotolerans	W. halotolerans
Megasphaera_stantonii	M. stantonii
Helicobacter_fennelliae	H. fennelliae
Caulobacter_sp_X	Cau. sp. X
Phyllobacterium_myrsinacearum	Phy. myrsinacearum
Eubacterium_coprostanoligenes	Eub. coprostanoligenes
Gemella_morbillorum	G. morbillorum
Mycobacterium_canettii	Myc. canettii
Burkholderia_pyrrocinia	B. pyrrocinia
Lactobacillus_parafarraginis	L. parafarraginis
Saccharopolyspora_flava	S. flava
Streptococcus_canis	S. canis
Actinotignum_urinale	A. urinale
Ruminococcaceae_bacterium_D5	Rum. bacterium D5
Eubacterium_sulci	Eub. sulci
Bacteroides_clarus	B. clarus
Desulfotomaculum_ruminis	D. ruminis
Corynebacterium_striatum	Cor. striatum
Proteus_mirabilis	P. mirabilis
Streptococcus_peroris	S. peroris
Corynebacterium_pyruviciproducens	Cor. pyruviciproducens
Plesiomonas_shigelloides	P. shigelloides
Pantoea_ananatis	P. ananatis
Leuconostoc_kimchii	L. kimchii
Hydrogenoanaerobacterium_saccharovorans	Hyd. saccharovorans
Corynebacterium_coyleae	Cor. coyleae
Bacteroides_reticulotermitis	B. reticulotermitis
Kosakonia_sp_S29	Kos. sp. S29
Streptococcus_agalactiae	S. agalactiae
Aerococcus_urinae	A. urinae
Proteobacteria_bacterium_CAG_139	Pro. bacterium CAG-139
Hydrogenophilus_thermoluteolus	H. thermoluteolus
Neisseria_elongata	N. elongata
Bacteroides_pectinophilus	B. pectinophilus
Arcanobacterium_haemolyticum	Arc. haemolyticum
Lactobacillus_apis	L. apis
Bacteroides_faecis_CAG_32	B. faecis CAG-32
Klebsiella_oxytoca	K. oxytoca
Bacillus_coagulans	Bacillus_coagulans
Pseudomonas_geniculata	P. geniculata
Enterococcus_malodoratus	E. malodoratus
Intestinibacter_bartlettii	I. bartlettii
Tolypothrix_campylonemoides	T. campylonemoides
Pantoea_brenneri	P. brenneri
Bacillus_intestinalis	B. intestinalis
Absiella_dolichum	A. dolichum
Bacillus_haynesii	B. haynesii
Blautia_obeum	B. obeum
Streptococcus_troglodytae	S. troglodytae
Eubacterium_sp_CAG_180	Eub. sp. CAG-180
Cloacibacillus_sp_An23	Clo. sp. An23
Corynebacterium_jeikeium	Cor. jeikeium
Anaerolineaceae_bacterium_oral_taxon_439	Ana. bacterium oral-taxon-439
Capnocytophaga_canis	C. canis
Pseudomonas_formosensis	P. formosensis
Microbacterium_sp_H83	Mic. sp. H83
Porphyromonas_sp_HMSC065F10	Por. sp. HMSC065F10
Pantoea_sp_PSNIH6	Pan. sp. PSNIH6
Firmicutes_bacterium_CAG_646	Fir. bacterium CAG-646
Pediococcus_acidilactici	P. acidilactici
Streptomyces_albus	S. albus
Streptococcus_pasteurianus	S. pasteurianus
Actinomyces_hongkongensis	A. hongkongensis
Lactobacillus_salivarius	L. salivarius
Stomatobaculum_longum	S. longum
Corynebacterium_mustelae	Cor. mustelae
Corynebacterium_urealyticum	Cor. urealyticum
Corynebacterium_aurimucosum	Cor. aurimucosum
Atlantibacter_hermannii	A. hermannii
Atopobium_deltae	A. deltae
Ochrobactrum_haematophilum	O. haematophilum
Ruminococcus_gnavus	R. gnavus
Pseudomonas_silesiensis	P. silesiensis
Modestobacter_marinus	M. marinus
Pseudoalteromonas_nigrifaciens	P. nigrifaciens
Eubacterium_maltosivorans	Eub. maltosivorans
Megamonas_funiformis	M. funiformis
Methanomassiliicoccales_archaeon_RumEn_M1	M. archaeon RumEn-M1
Flavobacterium_ummariense	Fla. ummariense
Mycolicibacter_arupensis	M. arupensis
Barnesiella_sp_An22	Bar. sp. An22
Bacteroides_pyogenes	B. pyogenes
Gemmiger_sp_An194	Gem. sp. An194
Agrobacterium_tumefaciens	Agr. tumefaciens
Prevotella_sp_CAG_5226	Pre. sp. CAG-5226
Pyramidobacter_piscolens	P. piscolens
Bacteroides_oleiciplenus	B. oleiciplenus
Actinotignum_timonense	A. timonense
Aeromonas_salmonicida	A. salmonicida
Brachybacterium_muris	Bra. muris
Anaerostipes_hadrus	A. hadrus
Blautia_sp_CAG_257	Bla. sp. CAG-257
Staphylococcus_pseudintermedius	S. pseudintermedius
Massilia_oculi	M. oculi
Propionimicrobium_lymphophilum	P. lymphophilum
Haemophilus_parahaemolyticus	H. parahaemolyticus
Mycobacteroides_abscessus	M. abscessus
Capnocytophaga_ochracea	C. ochracea
Alistipes_finegoldii	A. finegoldii
Paenibacillus_polysaccharolyticus	P. polysaccharolyticus
Klebsiella_grimontii	K. grimontii
Oenococcus_alcoholitolerans	O. alcoholitolerans
Lactobacillus_kimbladii	L. kimbladii
Mycoplasma_sp_HU2014	Myc. sp. HU2014
Moellerella_wisconsensis	M. wisconsensis
Microvirgula_aerodenitrificans	M. aerodenitrificans
Cronobacter_dublinensis	C. dublinensis
Meiothermus_silvanus	M. silvanus
Prevotella_amnii	P. amnii
Desemzia_incerta	D. incerta
Leptotrichia_buccalis	L. buccalis
Fusobacterium_hwasookii	Fus. hwasookii
Holdemania_filiformis	H. filiformis
Lactococcus_petauri	L. petauri
Mycolicibacterium_tusciae	Myc. tusciae
Sphingomonas_melonis	S. melonis
Rickettsia_akari	R. akari
Pseudomonas_antarctica	P. antarctica
Clostridium_sp_CAG_510	Clo. sp. CAG-510
Candidatus_Stoquefichus_sp_KLE1796	Can. sp. KLE1796
Sneathia_amnii	S. amnii
Deinococcus_grandis	D. grandis
Helicobacter_pylori	H. pylori
Citrobacter_freundii	C. freundii
Lactobacillus_jensenii	L. jensenii
Stenotrophomonas_maltophilia	S. maltophilia
Helicobacter_winghamensis	H. winghamensis
Lactobacillus_equicursoris	L. equicursoris
Prevotella_enoeca	P. enoeca
Succinatimonas_hippei	S. hippei
Staphylococcus_succinus	S. succinus
Kluyvera_georgiana	K. georgiana
Enorma_massiliensis	Enorma_massiliensis
Bacillus_altitudinis	B. altitudinis
Corynebacterium_nuruki	Cor. nuruki
Nocardiopsis_sp_L17_MgMaSL7	Noc. sp. L17-MgMaSL7
Desulfovibrio_sp_An276	Des. sp. An276
Staphylococcus_petrasii	S. petrasii
Anaerococcus_hydrogenalis	A. hydrogenalis
Klebsiella_quasivariicola	K. quasivariicola
Lactobacillus_ultunensis	L. ultunensis
Kocuria_varians	K. varians
Morococcus_cerebrosus	M. cerebrosus
Pseudomonas_coleopterorum	P. coleopterorum
Pseudescherichia_vulneris	P. vulneris
Anaerostipes_caccae	A. caccae
Bifidobacterium_anseris	Bif. anseris
Lactobacillus_coryniformis	L. coryniformis
Microbacterium_sp_MYb45	Mic. sp. MYb45
Williamsia_marianensis	W. marianensis
Ochrobactrum_anthropi	O. anthropi
Roseomonas_aestuarii	R. aestuarii
Paraclostridium_benzoelyticum	P. benzoelyticum
Campylobacter_concisus	C. concisus
Methanobrevibacter_sp_87_7	Met. sp. 87-7
Agrobacterium_deltaense	Agr. deltaense
Aggregatibacter_sp_oral_taxon_458	Agg. sp. oral-taxon-458
Photobacterium_aquimaris	Pho. aquimaris
Coprobacter_secundus	C. secundus
Duganella_sp_Leaf61	Dug. sp. Leaf61
Exiguobacterium_sp_AT1b	Exi. sp. AT1b
Actinomyces_viscosus	A. viscosus
Atopobium_vaginae	A. vaginae
Comamonas_terrigena	C. terrigena
Bifidobacterium_thermacidophilum	Bif. thermacidophilum
Psychrobacter_piechaudii	P. piechaudii
Gordonibacter_pamelaeae	G. pamelaeae
Megasphaera_sp_MJR8396C	Meg. sp. MJR8396C
Rhodococcus_pyridinivorans	R. pyridinivorans
Solibacillus_silvestris	S. silvestris
Veillonella_montpellierensis	V. montpellierensis
Roseburia_sp_499	Ros. sp. 499
Acinetobacter_gandensis	A. gandensis
Acinetobacter_baumannii	A. baumannii
Leptotrichia_sp_oral_taxon_847	Lep. sp. oral-taxon-847
Tannerella_sp_oral_taxon_HOT_286	Tan. sp. oral-taxon-HOT-286
Massilia_sp_LC238	Mas. sp. LC238
